Goalie,First,Last,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,PkC,Lv0,GlH,Lv0,Lv0,StR,StL,GvR,GvL
33,Alexnder,Mogilny,CGY,F,89,7,6,6,6,3,4,2,4,5,5,4,4,5,2
34,Gary,Roberts,CGY,F,10,7,4,4,5,4,4,4,8,4,5,5,1,3,4
35,Gary,Leeman,CGY,F,26,5,4,4,3,2,3,2,9,3,3,3,2,3,2
36,Brian,Bellows,CGY,F,23,8,4,4,4,3,4,2,3,4,4,4,2,4,2
37,Brian,Leetch,CGY,D,02,6,6,3,4,4,4,2,6,5,1,5,2,5,2
38,Eric,Desjardins,CGY,D,28,9,4,3,3,4,3,4,3,4,2,4,2,3,3
39,Teppo,Numminen,CGY,D,27,7,4,3,3,5,3,3,1,4,2,4,1,3,2
40,Jon,Casey,CHI,G,30,2,5,3,4,4,3,0,0,0,0,3,2,3,5
41,Brett,Hull,CHI,F,16,9,4,4,5,3,6,3,3,5,3,4,4,3,2
42,Nelson,Emerson,CHI,F,08,4,4,4,4,3,3,2,3,4,3,4,1,3,2
43,Geoff,Courtnall,CHI,F,14,7,5,5,4,3,3,1,4,4,3,3,2,4,4
44,Tony,Granato,CHI,F,21,6,4,5,4,4,3,3,3,3,4,3,3,3,4
45,Ray,Bourque,CHI,F,77,10,5,4,4,6,5,6,0,5,5,6,2,5,2
46,Phil,Housley,CHI,D,06,6,6,5,4,3,3,2,4,6,2,4,0,6,2
47,Marty,McSorley,CHI,D,33,14,3,3,3,4,3,3,9,3,2,4,4,3,6
48,Mike,Richter,DAL,G,35,7,4,4,4,4,3,0,0,0,0,5,4,4,5
49,Mike,Gartner,DAL,F,22,7,5,5,4,4,5,2,3,5,3,5,5,5,2
50,Joe,Juneau,DAL,F,49,5,4,4,4,3,4,2,0,4,3,4,0,4,1
51,Joe,Murphy,DAL,F,17,7,4,4,4,3,4,3,2,3,3,4,2,4,3
52,Geoff,Sanderson,DAL,F,08,6,4,4,4,3,4,2,0,4,4,4,3,3,1
53,Doug,Wilson,DAL,D,24,7,4,3,3,3,6,3,6,4,1,3,3,4,3
54,Gary,Suter,DAL,D,20,7,5,4,4,5,4,4,6,4,2,5,2,4,3
55,Darius,Kasparitis,DAL,D,11,7,4,3,2,3,3,4,4,3,1,3,2,3,4
56,Tom,Barrasso,DET,G,30,10,5,4,5,5,4,0,1,0,0,4,4,5,5
57,Robb,Stauber,DET,F,35,6,3,3,5,5,3,0,0,0,0,2,3,3,2
58,Dino,Ciccarelli,DET,F,22,5,5,4,4,2,5,2,3,5,5,4,1,4,3
59,Mats,Sundin,DET,F,13,7,4,4,5,4,4,1,3,4,5,4,0,4,3
60,Wendel,Clark,DET,F,17,8,3,3,3,3,5,4,6,4,3,4,3,4,4
61,Andrei,Kovalenko,DET,F,51,3,3,4,4,3,3,3,4,3,4,4,1,3,2
62,Brent,Ashton,DET,F,15,10,3,3,3,4,3,4,6,3,2,4,4,3,3
63,Dale,Hunter,DET,D,32,8,2,2,4,4,3,4,6,2,4,4,0,4,4
64,Richard,Smehlik,DET,D,42,10,3,3,3,4,3,4,4,3,1,3,0,3,2
65,Luke,Richardson,DET,D,02,11,3,3,1,3,2,4,6,3,0,2,4,3,4
66,Stephane,Quintal,DET,D,33,11,2,2,1,4,2,3,7,3,0,4,4,3,3
67,Craig,Ludwig,DET,D,03,12,2,2,1,3,2,3,4,2,0,3,4,2,4
68,Felix,Potvin,EDM,G,29,6,5,4,6,6,4,0,0,0,0,4,5,5,4
69,Mario,Gosselin,EDM,G,31,3,3,3,4,4,2,0,0,0,0,1,2,2,3
70,Mark,Messier,EDM,F,11,10,5,4,4,4,3,5,4,5,3,4,0,5,3
71,Mike,Ridley,EDM,F,17,9,4,4,4,3,3,2,0,4,4,4,0,4,2
72,Mike,Ricci,EDM,F,09,7,4,4,4,3,3,3,4,3,5,3,0,4,3
73,Dmitri,Kvartalnov,EDM,F,40,6,4,4,4,2,3,2,0,4,3,4,2,4,1
74,Kevin,Miller,EDM,F,14,7,4,3,3,4,3,3,7,3,3,4,3,3,3
75,Brent,Ashton,EDM,F,15,10,3,3,3,4,3,4,6,3,2,4,4,3,3
76,Kevin,Hatcher,EDM,D,04,12,3,3,4,4,5,4,3,4,2,4,4,4,3
77,Calle,Johansson,EDM,D,06,9,4,3,3,4,4,3,4,4,1,4,1,4,2
78,Brian,Glynn,EDM,D,08,11,3,3,2,3,4,3,4,2,1,4,3,2,3
79,Jiri,Slegr,EDM,D,24,10,3,3,3,3,3,2,6,3,1,4,1,3,4
80,Curtis,Joseph,FLA,G,31,6,5,4,6,6,4,0,0,0,0,4,3,4,5
81,Doug,Gilmour,FLA,F,93,4,5,4,5,5,4,4,4,4,4,6,0,4,3
82,Esa,Tikkanen,FLA,F,10,9,5,5,3,4,4,5,4,4,2,4,4,4,3
83,Dale,Hawerchuk,FLA,F,12,6,5,4,4,4,3,2,0,5,1,3,0,5,2
84,Joel,Otto,FLA,F,29,11,4,3,3,5,2,5,7,3,4,4,1,2,4
85,Paul,Coffey,FLA,D,77,9,6,5,4,3,4,2,4,6,1,5,1,5,3
86,Vachslav,Fetisov,FLA,D,02,11,4,2,2,4,4,4,4,4,1,3,0,4,4
87,Richard,Smehlik,FLA,D,42,10,3,3,3,4,3,4,4,3,1,3,0,3,2
88,Chris,Terreri,HFD,G,31,2,5,4,4,4,3,0,0,0,0,4,3,3,4
89,Sergei,Fedorov,HFD,F,91,7,5,4,4,4,4,3,2,5,4,4,1,5,3
90,Adam,Oates,HFD,F,12,7,5,4,6,5,3,3,1,5,4,5,0,6,1
91,Jimmy,Carson,HFD,F,22,9,4,4,4,3,4,2,3,4,5,4,2,4,1
92,Kevin,Dineen,HFD,F,11,7,4,5,3,4,2,2,7,3,3,4,5,3,4
93,Glen,Wesley,HFD,D,26,8,5,4,3,4,4,3,6,4,1,4,4,4,2
94,Steve,Duchesne,HFD,D,28,8,4,4,4,4,4,2,4,4,2,4,1,4,2
95,Calle,Johansson,HFD,D,06,9,4,3,3,4,4,3,4,4,1,4,1,4,2
96,Grant,Fuhr,LA,G,31,7,6,4,5,5,5,0,1,0,0,4,5,6,5
97,Glenn,Healy,LA,G,35,5,3,4,4,4,2,0,0,0,0,3,3,2,2
98,Esa,Tikkanen,LA,F,10,9,5,5,3,4,4,5,4,4,2,4,4,4,3
99,Valeri,Kamensky,LA,F,13,8,4,4,4,3,5,2,5,4,3,4,1,4,2
100,Dimitri,Khristich,LA,F,08,7,3,3,4,3,4,3,1,4,6,4,1,4,2
101,Ed,Olczyk,LA,F,12,9,4,3,3,3,4,2,4,4,3,3,4,4,2
102,Joe,Mullen,LA,F,11,6,4,3,4,3,3,3,1,4,5,4,2,3,0
103,Patrick,Poulin,LA,F,24,10,3,3,3,2,3,3,0,3,3,3,2,3,2
104,Gary,Suter,LA,D,20,7,5,4,4,5,4,4,6,4,2,5,2,4,3
105,Michel,Petit,LA,D,07,9,3,3,2,3,4,3,9,4,1,3,3,3,3
106,Paul,Cavallini,LA,D,14,10,3,3,2,3,3,3,4,3,1,3,5,3,2
107,Jeff,Beukeboom,LA,D,23,11,2,2,2,4,2,3,7,2,0,3,0,2,4
108,Bob,Essensa,MTL,G,35,3,5,4,5,5,4,0,0,0,0,5,4,4,5
109,Theoren,Fleury,MTL,F,14,3,5,5,4,5,4,4,7,4,3,6,1,3,3
110,Luc,Robitaille,MTL,F,20,7,4,4,5,3,4,2,4,5,6,5,2,4,3
111,Pelle,Eklund,MTL,F,09,5,5,4,4,3,3,3,2,4,3,4,0,4,1
112,Mike,Ricci,MTL,F,29,7,4,4,4,3,3,3,4,3,5,3,0,4,3
113,Dave,Ellett,MTL,D,04,9,4,4,3,4,5,4,4,4,1,4,2,4,2
114,Matt,Schneider,MTL,D,27,7,3,4,3,3,3,3,4,4,2,4,2,4,3
115,Yves,Racine,MTL,D,33,6,3,3,3,4,4,3,4,3,1,4,2,3,3
116,Ron,Hextall,NJ,G,27,7,5,4,4,4,4,0,0,0,0,4,5,3,4
117,Darcy,Wakaluk,NJ,G,35,6,3,3,3,3,3,0,0,0,0,3,2,4,2
118,Dave,Andreychuk,NJ,F,14,11,3,3,4,4,4,4,3,3,4,5,4,3,2
119,Geoff,Sanderson,NJ,F,08,6,4,4,4,3,4,2,0,4,4,4,3,3,1
120,Christan,Ruuttu,NJ,F,22,8,4,4,3,4,3,4,4,4,2,4,2,4,3
121,Yuri,Khmylev,NJ,F,13,7,4,3,3,4,4,3,1,3,4,3,3,3,2
122,Peter,Stastny,NJ,F,26,9,4,3,3,4,3,3,0,4,4,3,2,4,1
123,Dale,Hunter,NJ,F,32,8,2,2,4,4,3,4,6,2,4,4,0,4,4
124,Ray,Bourque,NJ,D,77,10,5,4,4,6,5,6,0,5,5,6,2,5,2
125,Larry,Murphy,NJ,D,55,10,4,3,4,5,4,3,3,4,2,5,1,4,3
126,Alexei,Gusarov,NJ,D,05,6,3,3,3,3,3,3,0,3,3,4,0,3,2
127,Sergei,Bautin,NJ,D,03,6,3,3,2,4,3,4,4,3,1,4,2,3,3
128,Andy,Moog,NYI,G,35,4,5,4,2,2,4,0,0,0,0,5,3,4,4
129,Mike,Modano,NYI,F,09,7,5,5,4,4,5,2,4,5,2,5,2,4,3
130,Cliff,Ronning,NYI,F,07,5,5,5,4,3,2,2,0,4,3,5,1,4,1
131,Brian,Bradley,NYI,F,19,4,4,3,4,3,4,3,3,3,5,4,2,3,3
132,Stephan,Lebeau,NYI,F,47,5,4,4,4,3,3,2,1,4,5,4,0,3,1
133,Nicklas,Lidstrom,NYI,D,05,5,4,3,3,4,4,3,4,4,1,4,2,4,1
134,Petr,Svoboda,NYI,D,06,5,4,4,3,4,3,3,6,4,0,4,0,3,3
135,Igor,Kravchuk,NYI,D,21,9,4,3,3,4,3,3,2,4,2,4,4,3,2
136,Mike,Vernon,NYR,G,30,4,4,4,4,4,4,0,0,0,0,5,4,3,4
137,Wayne,Gretzky,NYR,F,99,4,6,4,5,4,2,2,2,6,2,6,0,6,0
138,Valeri,Kamensky,NYR,F,31,8,4,4,4,3,5,2,5,4,3,4,1,4,2
139,Neal,Broten,NYR,F,07,4,4,4,3,5,3,3,0,3,2,4,3,4,1
140,Trevor,Linden,NYR,F,16,9,4,4,4,4,4,3,3,4,4,4,3,4,2
141,Don,Sweeney,NYR,D,32,4,4,4,3,4,4,4,4,4,1,4,1,4,2
142,Alexei,Zhitnik,NYR,D,02,5,4,4,3,4,3,3,4,3,2,4,1,3,3
143,Chris,Dahlquist,NYR,D,05,8,3,3,1,4,3,3,4,3,1,3,5,2,3
144,Ron,Hextall,OTT,G,27,7,5,4,4,4,4,0,0,0,0,5,4,3,4
145,Petr,Klima,OTT,F,85,7,5,5,3,2,4,1,3,5,5,4,5,3,3
146,Benoit,Hogue,OTT,F,33,7,4,5,4,3,3,2,4,4,5,4,1,4,3
147,Vincent,Damphousse,OTT,F,25,6,4,4,4,3,3,2,0,5,3,4,2,4,3
148,Ted,Donato,OTT,F,21,4,3,4,3,4,3,3,0,3,3,3,3,3,2
149,Scott,Stevens,OTT,D,04,11,4,4,3,4,4,5,6,4,2,5,0,4,3
150,Al,MacInnis,OTT,D,02,8,4,4,4,3,6,3,5,4,1,5,2,4,3
151,J.J.,Daigneault,OTT,D,48,6,4,3,2,4,4,3,4,3,2,4,4,2,2
152,Patrick,Roy,PHI,G,33,6,6,4,4,4,6,0,0,0,0,5,5,6,6
153,Pierre,Turgeon,PHI,F,77,9,4,4,5,3,4,3,4,4,5,5,1,4,1
154,Joe,Sakic,PHI,F,19,6,4,4,5,4,4,2,0,4,5,5,2,5,2
155,Cam,Neely,PHI,F,08,10,4,4,5,4,4,4,9,4,5,5,3,4,4
156,Eric,Lindros,PHI,F,88,12,4,3,4,4,4,5,9,4,6,5,2,4,4
157,Ulf,Samuelsson,PHI,D,05,8,4,4,3,5,3,5,6,3,0,4,1,3,5
158,Rob,Blake,PHI,D,44,11,4,4,4,4,4,3,3,4,1,4,3,4,4
159,Eric,Weinrich,PHI,D,94,10,3,4,3,4,3,3,4,3,2,4,1,3,3
160,Chris,Terreri,PIT,G,31,2,5,4,4,4,3,0,0,0,0,3,3,4,4
161,Craig,Billington,PIT,G,01,4,4,4,2,2,1,0,0,0,0,3,3,2,2
162,Gary,Roberts,PIT,F,10,7,4,4,5,4,4,4,8,4,5,5,1,3,4
163,Geoff,Courtnall,PIT,F,14,7,5,5,4,3,3,1,4,4,3,3,2,4,4
164,Robert,Reichel,PIT,F,26,6,4,4,4,3,4,2,4,4,4,3,2,4,2
165,Rick,Tocchet,PIT,F,22,9,2,2,5,4,4,3,7,3,5,4,1,3,4
166,Bob,Sweeney,PIT,F,20,9,4,2,3,5,3,4,7,3,4,4,2,3,3
167,Bob,Errey,PIT,F,21,6,4,4,2,4,2,4,4,3,2,4,5,2,3
168,Paul,Coffey,PIT,D,77,9,6,5,4,3,4,2,4,6,1,5,1,5,3
169,Kevin,Lowe,PIT,D,04,8,4,3,2,4,3,4,2,4,1,3,1,3,3
170,Scott,Niedrmayer,PIT,D,27,9,3,3,3,3,3,3,4,3,2,3,1,3,2
171,Mike,Ramsey,PIT,D,06,8,3,2,2,3,2,3,6,2,2,3,1,2,2
172,Felix,Potvin,QUE,G,29,6,5,4,6,6,4,0,0,0,0,5,4,4,5
173,Steve,Yzerman,QUE,F,19,6,6,5,6,4,4,1,1,5,5,6,1,5,2
174,Mats,Sundin,QUE,F,13,7,4,4,5,4,4,1,3,4,5,4,0,4,3
175,Steve,Larmer,QUE,F,28,7,4,4,4,6,4,4,4,4,4,6,3,4,2
176,Kirk,Muller,QUE,F,11,9,4,4,4,4,4,4,4,4,4,4,1,4,3
177,Al,Iafrate,QUE,D,34,11,4,4,4,4,6,4,6,4,2,4,4,4,4
178,Jeff,Brown,QUE,D,21,9,3,3,4,4,5,2,3,4,3,5,1,4,2
179,Vladimir,Malakhov,QUE,D,23,10,3,3,4,3,4,3,4,3,2,4,2,3,3
180,Bill,Ranford,SJ,G,30,4,5,3,3,3,4,0,0,0,0,5,4,5,5
181,Pat,LaFontaine,SJ,F,16,5,5,4,6,4,3,3,3,5,4,6,0,5,2
182,Mark,Messier,SJ,F,11,10,5,4,4,4,3,5,4,5,3,4,0,5,3
183,Tomas,Sandstrom,SJ,F,07,9,4,4,5,3,5,3,8,4,5,3,2,3,3
184,Pat,Verbeek,SJ,F,26,7,3,4,4,3,4,3,7,4,4,4,2,4,4
185,Zarley,Zalapski,SJ,D,03,10,5,4,4,5,4,4,4,4,2,5,1,3,3
186,James,Patrick,SJ,D,06,9,4,4,3,4,4,4,3,4,1,4,2,4,3
187,Kevin,Hatcher,SJ,D,04,12,3,3,4,4,5,4,3,4,2,4,4,4,3
188,John,Blue,STL,G,39,6,4,4,5,5,3,0,0,0,0,5,3,4,4
189,Russ,Courtnall,STL,F,26,6,5,6,4,2,4,2,1,3,3,3,4,3,2
190,Evgeny,Davydov,STL,F,11,6,4,4,3,3,4,1,3,3,4,3,5,3,2
191,Dave,Gagner,STL,F,15,6,4,4,4,4,3,2,4,4,4,4,2,4,4
192,Jaromir,Jagr,STL,F,68,10,5,4,4,3,3,4,4,5,3,4,1,4,2
193,Gord,Murphy,STL,D,28,8,5,4,2,3,4,4,9,3,1,3,3,3,3
194,Larry,Murphy,STL,D,55,10,4,3,4,5,4,3,3,4,2,5,1,4,3
195,Doug,Lidster,STL,D,03,9,3,3,2,3,3,4,3,4,1,4,1,4,2
196,Grant,Fuhr,TB,G,31,7,6,4,5,5,5,0,1,0,0,4,5,6,5
197,Dino,Ciccarelli,TB,F,22,5,5,4,4,2,5,2,3,5,5,4,1,4,3
198,Peter,Bondra,TB,F,12,6,4,6,4,3,3,2,0,4,4,4,2,3,2
199,Andrei,Kovalenko,TB,F,51,3,3,4,4,3,3,3,4,3,4,4,1,3,2
200,Dallas,Drake,TB,F,28,4,4,4,3,4,3,2,0,3,3,4,1,3,3
201,Patrice,Brisebois,TB,D,43,5,3,3,3,3,3,3,7,2,2,4,3,2,3
202,Gord,Hynes,TB,D,26,4,2,2,2,2,1,3,2,2,2,2,5,2,2
203,Tom,Pederson,TB,D,41,4,1,2,3,2,2,2,5,2,2,2,4,3,2
204,Tom,Barrasso,TOR,G,35,10,5,4,5,5,4,0,1,0,0,4,5,5,4
205,Teemu,Selanne,TOR,F,13,6,5,6,5,3,4,3,3,4,5,5,4,4,2
206,Denis,Savard,TOR,F,18,5,5,4,4,3,3,2,3,5,3,3,0,4,3
207,Robert,Reichel,TOR,F,26,6,4,4,4,3,4,2,4,4,4,3,2,4,2
208,Stephane,Richer,TOR,F,44,9,4,4,4,3,5,2,1,4,3,4,4,3,2
209,Dave,Manson,TOR,D,24,9,4,4,3,5,5,4,10,4,1,5,4,3,4
210,Tommy,Sjodin,TOR,D,33,6,4,3,3,3,4,2,1,3,1,3,3,3,1
211,Kevin,Lowe,TOR,D,04,8,4,3,2,4,3,4,2,4,1,3,1,3,3
212,Tommy,Soderstrom,VAN,G,30,3,5,4,5,5,4,0,0,0,0,3,5,4,4
213,Jim,Waite,VAN,G,29,6,4,3,3,3,2,0,0,0,0,3,2,4,3
214,Jimmy,Carson,VAN,F,12,9,4,4,4,3,4,2,3,4,5,4,2,4,1
215,Joe,Sakic,VAN,F,19,6,4,4,5,4,4,2,0,4,5,5,2,5,2
216,Wendel,Clark,VAN,F,17,8,3,3,3,3,5,4,6,4,3,4,3,4,4
217,Bob,Bassen,VAN,F,28,4,3,4,2,2,2,4,8,3,3,2,3,2,3
218,Dirk,Graham,VAN,F,33,8,4,3,3,5,3,4,7,3,2,4,5,3,4
219,Gilbert,Dionne,VAN,F,45,8,3,4,3,3,3,2,4,3,3,3,2,3,2
220,Chris,Chelios,VAN,D,07,7,4,4,4,6,5,4,7,5,1,6,2,4,5
221,Doug,Wilson,VAN,D,24,7,4,3,3,3,6,3,6,4,1,3,3,4,3
222,Jeff,Brown,VAN,D,21,9,3,3,4,4,5,2,3,4,3,5,1,4,2
223,Rob,Ramage,VAN,D,05,9,3,2,2,3,3,4,7,3,1,3,5,3,4
224,Curtis,Joseph,WSH,G,31,6,5,4,6,6,4,0,0,0,0,4,3,4,5
225,Curtis,Joseph,WSH,G,31,6,5,4,6,6,4,0,0,0,0,4,3,4,5
226,Doug,Gilmour,WSH,F,93,4,5,4,5,5,4,4,4,4,4,6,0,4,3
227,Esa,Tikkanen,WSH,F,10,9,5,5,3,4,4,5,4,4,2,4,4,4,3
228,Dale,Hawerchuk,WSH,F,11,6,5,4,4,4,3,2,0,5,1,3,0,5,2
229,Joel,Otto,WSH,F,29,11,4,3,3,5,2,5,7,3,4,4,1,2,4
230,Paul,Coffey,WSH,D,77,9,6,5,4,3,4,2,4,6,1,5,1,5,3
231,Vachslav,Fetisov,WSH,D,02,11,4,2,2,4,4,4,4,4,1,3,0,4,4
232,Curtis,Leschyshyn,WSH,D,07,9,3,4,3,4,2,3,4,2,3,4,0,3,2
233,Tommy,Soderstrom,WPG,G,30,3,5,4,5,5,4,0,0,0,0,4,4,3,5
234,Pavel,Bure,WPG,F,10,5,5,6,5,4,4,2,0,5,4,4,4,4,2
235,Jeremy,Roenick,WPG,F,27,4,5,5,4,4,5,2,3,5,5,5,2,5,3
236,Nikolai,Borshevsky,WPG,F,16,6,4,4,4,2,3,2,0,4,4,4,2,4,1
237,Alexei,Zhamnov,WPG,F,13,7,5,3,4,3,3,3,0,5,4,4,1,5,2
238,Chris,Chelios,WPG,D,07,7,4,4,4,6,5,4,7,5,1,6,2,4,5
239,Alexei,Kasatonov,WPG,D,05,11,4,3,2,3,4,4,4,4,1,3,1,4,2
240,Cam,Russell,WPG,D,08,5,3,3,1,3,2,3,4,3,1,3,5,2,4
241,Rick,Knickle,QB,G,01,2,3,3,3,3,2,0,0,0,0,2,2,3,2
242,Rick,Tabaracci,QB,G,41,6,3,3,1,1,2,0,0,0,0,4,3,3,2
243,Bobby,Smith,QB,F,18,10,3,3,2,3,2,2,6,3,2,3,4,4,0
244,Bob,Kudelski,QB,F,26,9,3,3,3,3,3,2,3,3,4,3,4,3,2
245,Perry,Berezan,QB,F,16,7,4,4,2,2,2,3,3,2,2,2,5,3,3
246,Gregori,Pantaleyev,QB,F,13,6,4,4,2,2,2,1,2,3,3,2,4,3,1
247,Keith,Primeau,QB,F,55,11,3,3,3,4,3,1,6,2,4,3,1,2,4
248,Guy,Carbonneau,QB,F,21,6,4,3,2,4,2,4,1,4,1,3,3,4,1
249,Geoff,Smith,QB,D,25,9,4,3,2,3,1,1,4,3,1,3,2,3,1
250,Dimitri,Yushkevich,QB,D,02,7,4,3,3,4,3,2,4,3,1,4,3,3,3
251,Joe,Cirella,QB,D,06,10,3,3,2,2,3,2,9,2,2,3,3,2,3
252,Neil,Wilkinson,QB,D,05,7,3,3,1,3,2,3,5,3,0,4,4,4,3
253,Bob,Essensa,ASB,G,35,3,5,4,5,5,4,0,0,0,0,4,5,4,5
254,John,Vanbiesbrk,ASB,G,34,5,4,4,5,5,3,0,0,0,0,4,5,3,4
255,Curtis,Joseph,ASB,G,31,6,5,4,6,6,4,0,0,0,0,4,3,5,4
256,Pavel,Bure,ASB,F,10,5,5,6,5,4,4,2,0,5,4,4,4,4,2
257,Brett,Hull,ASB,F,17,9,4,4,5,3,6,3,3,5,3,4,4,3,2
258,Tomas,Sandstrom,ASB,F,07,9,4,4,5,3,5,3,8,4,5,3,2,3,3
259,Alexnder,Mogilny,ASB,F,89,7,6,6,6,3,4,2,4,5,5,4,4,5,2
260,Steve,Larmer,ASB,F,28,7,4,4,4,6,4,4,4,4,4,6,3,4,2
261,Vincent,Damphousse,ASB,F,25,6,4,4,4,3,3,2,0,5,3,4,2,4,3
262,Mark,Recchi,ASB,F,08,6,5,4,5,3,4,3,4,4,5,4,1,4,3
263,Mats,Sundin,ASB,F,13,7,4,4,5,4,4,1,3,4,5,4,0,4,3
264,Pat,LaFontaine,ASB,F,16,5,5,4,6,4,3,3,3,5,4,6,0,5,2
265,Brian,Bellows,ASB,F,23,8,4,4,4,3,4,2,3,4,4,4,2,4,2
266,Dino,Ciccarelli,ASB,F,22,5,5,4,4,2,5,2,3,5,5,4,1,4,3
267,Wayne,Gretzky,ASB,F,99,4,6,4,5,4,2,2,2,6,2,6,0,6,0
268,Jimmy,Carson,ASB,F,12,9,4,4,4,3,4,2,3,4,5,4,2,4,1
269,Mike,Modano,ASB,F,09,7,5,5,4,4,5,2,4,5,2,5,2,4,3
270,Dave,Andreychuk,ASB,F,14,11,3,3,4,4,4,4,3,3,4,5,4,3,2
271,Ray,Bourque,ASB,D,77,10,5,4,4,6,5,6,0,5,5,6,2,5,2
272,Mikhail,Tatarinov,ASB,D,50,8,3,3,2,2,5,4,6,4,1,2,4,4,3
273,Ulf,Samuelsson,ASB,D,05,8,4,4,3,5,3,5,6,3,0,4,1,3,5
274,Kevin,Hatcher,ASB,D,04,12,3,3,4,4,5,4,3,4,2,4,4,4,3
275,Gord,Murphy,ASB,D,29,8,5,4,2,3,4,4,9,3,1,3,3,3,3
276,Al,Iafrate,ASB,D,34,11,4,4,4,4,6,4,6,4,2,4,4,4,4
277,Teppo,Numminen,ASB,D,27,7,4,3,3,5,3,3,1,4,2,4,1,3,2
278,Phil,Housley,ASB,D,06,6,6,5,4,3,3,2,4,6,2,4,0,6,2
